epoch (ms),time (-13:00),elapsed (s),pressure (Pa)
1568493177252,2019-09-14T16:32:57.252,51.291,99152.781
1568493177387,2019-09-14T16:32:57.387,51.426,99157.906
1568493177523,2019-09-14T16:32:57.523,51.562,99154.438
1568493177658,2019-09-14T16:32:57.658,51.697,99153.609
1568493177794,2019-09-14T16:32:57.794,51.833,99157.977
1568493177931,2019-09-14T16:32:57.931,51.970,99157.977
1568493178065,2019-09-14T16:32:58.065,52.104,99149.344
1568493178202,2019-09-14T16:32:58.202,52.241,99154.547
1568493178338,2019-09-14T16:32:58.338,52.377,99151.938
1568493178473,2019-09-14T16:32:58.473,52.512,99160.172
1568493178609,2019-09-14T16:32:58.609,52.648,99158.445
1568493178744,2019-09-14T16:32:58.744,52.783,99150.703
1568493178880,2019-09-14T16:32:58.880,52.919,99157.211
1568493179016,2019-09-14T16:32:59.016,53.055,99154.203
1568493179151,2019-09-14T16:32:59.151,53.190,99159.875
1568493179287,2019-09-14T16:32:59.287,53.326,99161.172
1568493179423,2019-09-14T16:32:59.423,53.462,99155.141
1568493179558,2019-09-14T16:32:59.558,53.597,99152.547
1568493179694,2019-09-14T16:32:59.694,53.733,99164.242
1568493179830,2019-09-14T16:32:59.830,53.869,99158.641
1568493179965,2019-09-14T16:32:59.965,54.004,99164.305
1568493180101,2019-09-14T16:33:00.101,54.140,99150.844
1568493180236,2019-09-14T16:33:00.236,54.275,99151.734
1568493180372,2019-09-14T16:33:00.372,54.411,99158.234
1568493180509,2019-09-14T16:33:00.509,54.548,99152.203
1568493180643,2019-09-14T16:33:00.643,54.682,99154.805
1568493180780,2019-09-14T16:33:00.780,54.819,99162.141
1568493180916,2019-09-14T16:33:00.916,54.955,99164.375
1568493181051,2019-09-14T16:33:01.051,55.090,99149.602
1568493181187,2019-09-14T16:33:01.187,55.226,99160.000
1568493181322,2019-09-14T16:33:01.322,55.361,99156.578
1568493181458,2019-09-14T16:33:01.458,55.497,99158.344
1568493181594,2019-09-14T16:33:01.594,55.633,99164.375
1568493181729,2019-09-14T16:33:01.729,55.768,99160.469
1568493181865,2019-09-14T16:33:01.865,55.904,99150.539
1568493182001,2019-09-14T16:33:02.001,56.040,99165.273
1568493182136,2019-09-14T16:33:02.136,56.175,99155.805
1568493182272,2019-09-14T16:33:02.272,56.311,99163.969
1568493182409,2019-09-14T16:33:02.409,56.448,99161.375
1568493182543,2019-09-14T16:33:02.543,56.582,99157.938
1568493182680,2019-09-14T16:33:02.680,56.719,99155.734
1568493182814,2019-09-14T16:33:02.814,56.853,99163.969
1568493182951,2019-09-14T16:33:02.951,56.990,99159.234
1568493183087,2019-09-14T16:33:03.087,57.126,99169.172
1568493183222,2019-09-14T16:33:03.222,57.261,99162.672
1568493183358,2019-09-14T16:33:03.358,57.397,99155.336
1568493183494,2019-09-14T16:33:03.494,57.533,99163.969
1568493183629,2019-09-14T16:33:03.629,57.668,99165.672
1568493183765,2019-09-14T16:33:03.765,57.804,99167.875
1568493183901,2019-09-14T16:33:03.901,57.940,99170.469
1568493184036,2019-09-14T16:33:04.036,58.075,99170.039
1568493184172,2019-09-14T16:33:04.172,58.211,99156.578
1568493184307,2019-09-14T16:33:04.307,58.346,99171.234
1568493184443,2019-09-14T16:33:04.443,58.482,99167.344
1568493184579,2019-09-14T16:33:04.579,58.618,99163.008
1568493184714,2019-09-14T16:33:04.714,58.753,99164.742
1568493184850,2019-09-14T16:33:04.850,58.889,99164.742
1568493184987,2019-09-14T16:33:04.987,59.026,99163.008
1568493185121,2019-09-14T16:33:05.121,59.160,99164.305
1568493185258,2019-09-14T16:33:05.258,59.297,99152.141
1568493185392,2019-09-14T16:33:05.392,59.431,99163.008
1568493185529,2019-09-14T16:33:05.529,59.568,99167.742
1568493185665,2019-09-14T16:33:05.665,59.704,99160.469
1568493185800,2019-09-14T16:33:05.800,59.839,99162.141
1568493185936,2019-09-14T16:33:05.936,59.975,99150.438
1568493186072,2019-09-14T16:33:06.072,60.111,99163.906
1568493186207,2019-09-14T16:33:06.207,60.246,99159.539
1568493186343,2019-09-14T16:33:06.343,60.382,99158.234
1568493186478,2019-09-14T16:33:06.478,60.517,99159.539
1568493186614,2019-09-14T16:33:06.614,60.653,99159.539
1568493186750,2019-09-14T16:33:06.750,60.789,99167.344
1568493186885,2019-09-14T16:33:06.885,60.924,99159.539
1568493187021,2019-09-14T16:33:07.021,61.060,99158.641
1568493187158,2019-09-14T16:33:07.158,61.197,99158.234
1568493187292,2019-09-14T16:33:07.292,61.331,99163.438
1568493187429,2019-09-14T16:33:07.429,61.468,99163.008
1568493187563,2019-09-14T16:33:07.563,61.602,99168.641
1568493187700,2019-09-14T16:33:07.700,61.739,99160.406
1568493187836,2019-09-14T16:33:07.836,61.875,99166.438
1568493187971,2019-09-14T16:33:07.971,62.010,99156.047
1568493188107,2019-09-14T16:33:08.107,62.146,99158.641
1568493188243,2019-09-14T16:33:08.243,62.282,99156.438
